Iteración,Escenario,y_real,y_prediccion,w1 (Bytes),w2 (Paquetes),w3 (Temp),w4 (Dur),b (Sesgo)
1,Normal,0,0.0687,2.5,2.5,0.0,0.0,-2.0
2,Normal,0,0.0681,2.5011,2.5006,0.0026,0.0,-2.0069
3,Ataque (nmap),1,1.0,2.5021,2.5012,0.0029,0.0,-2.0137
Final,-,-,-,2.5021,2.5012,0.0029,0.0,-2.0137
